"";"average.rating";"category";"pegi";"description";"devname";"price";"version";"lastupdate"
"392";NA;"Medical";17;"Cue. delivers the leading Cloud Assessment Solution for Medical Professionals.Professional Grade Neuropsychological, Psychological and Pain assessment, diagnostic, and monitoring application, which can be administered by a computer.  Insurance reimbursement is available, which includes time for physician, psychologist, or other qualified health care professional interpretation and reporting.Product Features:- Digital Prescreen: Assessment automatically generated, based on patients' prescreen answers.- Neuropsychological Assessments- Psychological Assessments- Healthcare Grade Assessments- Instantly Calculated and Scored Assessments";"Benxyla Health, LLC";0;"1.0.4";1498521600
"393";NA;"Health & Fitness";4;"<U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6>Currently on Sale! 50% Off, Don't miss it!<U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6>A spice is a dried seed, fruit, root, bark, or vegetative substance used in nutritionally insignificant quantities as a food additive for flavor, color, or as a preservative that kills harmful bacteria or prevents their growth.  It may be used to flavor a dish or to hide other flavors. In the kitchen, spices are distinguished from herbs, which are leafy, green plant parts used for flavoring.There are over 100 types of herbs & spice commonly found in kitchens.Culinary Herbs & Spices Encyclopedia is an application containing information of over 160 different kinds of Herbs & Spice used in the kitchen. For every type of herb & spice included, the following information is available for reference:<U+25C6> High quality photo<U+25C6> Very detailed descriptions of the material<U+25C6> Detailed instructions as to how the herb/spice is used<U+25C6> The characteristics of the herb/spiceThe application is optimized for iPad, iPad2, iPhone4, iPhone 3G/3GS & iPod Touch.<U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6>WHAT YOU WILL EXPECTThis application has the following features:<U+25C6> An interface to preview all items in one view<U+25C6> The ability to bookmark selected item for easier reference<U+25C6> Cross-referencing links to other item<U+25C6> An item search engine<U+25C6> Offline browsing<U+25C6> Buy 1 get 1 free. Both the iPhone & iPad version of this App are included in a single purchase<U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6><U+25C6>This application is proudly presented by ColaKey LLC.";"Otto Chan";1,99;"1.3";1333411200
"394";NA;"Health & Fitness";4;"Download the Culture Fitness App today to manage your membership, see what activities are happening in the gym, social feeds and even book services such as Personal Training!  Download this App today!";"MINDBODY, Incorporated";0;"4.2.2";1534118400
"395";NA;"Medical";17;"This easy-to-use app records your blood glucose and blood pressure measurements and converts them to visualized graphs and charts for tracking changes and trends over time. You can share the information with your family and your doctor instantly through the advanced Cumii® Wellness platform. With simple actionable Health Tips, you can learn more about how to achieve good diabetes and blood pressure management through the correct dietary, exercise routine and other lifestyle choices. This App works smoothly with the Cumii® range of connected blood pressure and blood glucose monitoring devices.The application syncs with connected blood glucose and blood pressure measuring devices. The application is works with a data connection, thus requires internet connectivity.Blood glucose, blood pressure and heart rate measurement results are color coded, with Green for Normal and Red for either too high or too low.The readings are stored securely and are retrievable. The recordings are sorted by time over the period of either 7, 14 or 30 days.Data is organized into a statistical trend chart, where you will be able to see how the recordings have gone up and down at different times of the day.Authenticated family members and healthcare providers such as doctors and nurses can also view user`s records for remote patient monitoring enabling better health management.Please note:This application is information recording and self-monitoring tool only and is not intended to diagnose, prevent or recommend treatment for any disease or illness.Consult your doctor for informed medical advice about your health and more.";"Cumii International Limited";0;"1.0.10";1504051200
"396";NA;"Medical";4;"OVERVIEW:  The CURO Human app is designed for Clinicians and Physical Trainers and works together with a MyoDynamik CURO system to record muscle contractions during periods of physical activity.BACKGROUND: Acoustic Myography (AMG) (also known as phonomyography, sound myography, vibromyography, and surface mechanomyogram) is a technique that measures the low frequency sounds (1 Hz to 200 Hz) created during muscular activity – sounds that can often be heard with ones ear pressed up against a contracting muscle.CLINICIANS:  can use this tool to help them locate and assess a muscle related injury. Our CURO system and purpose built sensors are capable of accurately recording the contractions made by active muscles – no need to shave or prepare your subject.PHYSICAL TRAINERS:  can use the CURO to better assess a subject’s strength, endurance, efficiency and coordination as well as better identify muscle injuries and follow their recovery.- Simply select the muscle/muscles of interest using our app- Rub in our acoustic gel to ensure good acoustic contact with the skin- Place our sensor on the gel - Tape the sensor in place with the bandage provided- Connect the sensor to the CURO- Activate the CURO and establish a WiFi link with our app- Start recording in real-timeThe applications for which the CURO has been tested include:- Muscle imbalance assessment – examining gait issues- Muscle disease or wasting assessment- Muscle performance assessment – following a re-training program- Muscle fatigue assessmentThe CURO system not only presents muscle sounds in real-time it also provides a real-time balance score to enable you to detect muscle imbalances with the aid of our unique ESTiTM Score. AMG-measurements are sent to an iPad so you can immediately see how your muscles function.ESTi TM INTERPRETATION:  The CURO system is unique in that it measures the number of active fibers (spatial summation; S) and the frequency with which they contract (temporal summation; T) as well as the way in which the Central Nervous System (CNS) recruits and uses the active fibers in a muscle (synchrony/efficiency; E). It is only by combining the timing aspect of muscle fiber contraction that one can start to assess the synchrony with which the CNS recruits active fibers in a muscle – and in so doing, more accurately determine the significance of both the signal amplitude and frequency.E - Efficiency:  the E-parameter refers to the period of muscle fiber activity during a recorded period of exercise – muscle efficiency. A high score obtained during moderate to high levels of exercise is a sign of a very well trained and highly coordinated / efficient muscle movement.S – Spatial summation:  the S-parameter refers to the number of muscle fibers recruited during a movement, as part of exercise or a muscle contraction. A low score obtained during moderate to high levels of exercise is a sign of a very well trained and highly coordinated muscle movement.T – Temporal summation:  the T-parameter refers to the speed with which muscle fibers are activated repeatedly during a movement, as part of exercise or a muscle contraction. A low score obtained during moderate to high levels of exercise is a sign of a very well trained and highly coordinated muscle movement.In addition to these individual scores, the CURO system calculates the ESTi Balance for muscle groups – allowing the user to quickly assess muscle imbalances in the body that could give rise to lameness or early fatigue and muscle soreness.ESTi Balance:  	   ± 10% from ZERO = MILD IMBALANCE                           ± 20% from ZERO = MODERATE IMBALANCE                           > ± 20% from ZERO = SERIOUS IMBALANCE";"MyoDynamik ApS";0;"1.1";1465430400
"397";NA;"Health & Fitness";4;"Pharmacist designed CyberScript® enables you to order your prescription refills and check to see if they are ready anytime, anywhere, while you are on the go. Create a shortlist of prescriptions to make repeat orders quick and easy.";"Advance Innovative Solutions";0;"1.81.09";1523923200
"398";NA;"Health & Fitness";4;"Download the Cyclo Studio app to easily manage your fitness experience - anytime, anywhere. Our app will allow you to easily find and seamlessly book Cyclo Studio services with just two taps! This app will also provide you with the latest details on services and products as well as notifications about Cyclo Studio news and updates";"Glofox Ltd";0;"7.7.3";1520899200
"399";NA;"Health & Fitness";4;"Have fun with this social health & fitness app and reach your wellness goals with transformation challenges, on-demand classes, and move by move workouts you can do right from your own home!Here’s how it works:1) Start by browsing our list of teams lead by verified coaches in your community and around the world! Team up with your favorite coach!2) Once you’ve selected your team, you’ll begin to receive challenges from your team leader and other teammates. Accept the challenges you like and challenge your friends and family to do them with you! You can also browse, filter, and search for specific challenges any time.3) Receive motivation, encouragement, and praise from your team leader and other teammates each time you complete a challenge.6) Meet and share your progress with teammates and other members that have completed the same challenges as you.Once you’ve teamed up with Cylee Fitness & Nutrition, your training team is with you wherever you go, keeping you focused on improving your health every day. If it doesn’t challenge you, it doesn’t change you. Team up with Cylee Fitness & Nutrition today and let’s get fit together! #ChallengeAcceptedUser can upgrades to Cylee Fitness & Nutrition membership which the feature listed below is available through a monthly subscription of $7.99. Each subscription is auto-Renewing. Subscription applies to Cylee Fitness & Nutrition. Feature of monthly subscription.> On demand and move by move workouts, training program and challenges> Track personal progress, access global leaderboards and challenge friends.> Get support and motivation from your favorite coaches and teammates. Payment will be charged to iTunes Account at confirmation of purchase. Subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period, and identify the cost of the renewal. Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user’s Account Setting after purchase. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable.Cylee Fitness & Nutrition’s full Terms & Conditions and Privacy Policy available at:http://fitcomadmin.com/Resources/PivacyPolicy/PRIVACYPOLICY-CyleeFitnessNutrition.pdf";"Fitcom Inc.";0;NA;NA
"400";NA;"Lifestyle";4;"Download D Maniac Studio App and register with us today!Take a sneak of our classes and plan your life from this mobile app.With this app, you can view our daily schedule, get noticed of subbing alert and class cancellation, see on-going promotion, be prepared for upcoming events and workshops.No problem of getting lost or losing the contact with us. You can also click through to our social pages and be navigated to our studio directly. Download now!";"Patara Trirat";0;"1.0.1";1517875200
"401";NA;"Medical";4;"DabaDoc ... It is instant, easy and free!DabaDoc is the largest online medical appointment booking platform in Africa, with thousands of doctors using it across six countries.DabaDoc is a free service for patients, allowing them to easily find and book an appointment with an available doctor nearby that meets their needs at any time and on any device.DabaDoc was founded in 2014, with the clear mission to connect patients and doctors, substantially improving the doctor discovery process for patients and helping doctors optimize their schedule.";"Dabadoc";0;NA;NA
"402";NA;"Health & Fitness";4;"Here you will find all the up coming events, classes, and information you need for Dance Street West Performance Studio.";"Reef Colman";0;"1.0";1472860800
"403";3,9;"Entertainment";4;"Why watch videos of Jordyn on YouTube when you can dance with her?! With this app, users can learn choreography from Jordyn and Jerome Alexander, film themselves, and then watch as they dance side by side with Jordyn!  Just who is Jordyn Jones? Jordyn is one of worlds most recognizable young dancers.  Represented by Clear Talent Group, this triple threat has starred in Nickelodeon's Kid Choice Awards, was a crowd favorite on Abby's Ultimate Dance Challenge, and most recently released a wildly successful music video to ""Banji!""This app comes with two combos, Jazz Funk and Hip Hop, and a freestyle video, so users can battle Jordyn! Dancin with Jordyn is brought to you by Jordyn Jones, Kevin Andrews, Jerome Alexander, Stacy Hagen, and Clear Talent Group.";"Stacy Hagen";0;"1.2";1419120000
"404";NA;"Lifestyle";4;"DANNIE & CARRIE is an exciting, fun, buzzy hair and makeup salon which is located on the First Floor at No.85 on Askew Road. We offer a whole range of services from colour, cuts and styling to beard trims and wet shaves. We also offer makeup services including bridal, natural and special effect makeup. You will always feel at home in our salon, whilst enjoying a lovely glass of wine and having your hair or makeup done along with lots of giggles! We look forward to welcoming you!";"Intelligent Salon Software Ltd";0;NA;NA
"405";NA;"Health & Fitness";17;"Do you think your iPhone is too bright in the dark?Do you have a problem with eye strain and fatigue when you surf the web?If so, let Dark Night Browser protect your eyes now.Dark Night Browser is an Eye care web browser that comes with all standard features that a web browser should have and also plus many advanced features for an advanced user.Eye care features:- Brightness filter: Lower brightness than the system offer.- Blue light filter: Help you sleep better.- Dark mode: Help you read better in the dark.- Increase font size: Help you read easier.- Turn off all animation: Prevent you from dizzy and motion sickness.- Rest your eye warning: Prevent you from Computer vision syndrome.Standard features:- Portrait and Landscape supported.- Multiple Tab browsing.- Bookmark.- History.- Clear history, cache, cookie.- Request desktop site.- Find on page.- Reader View.- Translate website language.- Full screen browsing mode.- Private browsing mode.- Save and Autofill passwords.- Selectable search engine.- Search suggestion when typing.- Most visited list.Advanced features:- Unlock with Passcode, Touch ID.- Download and preview file.- Many swipe gestures supported.- Capture website screen to the image: Both visible area and entire website.- User Agent switcher: Simulate your device as Mobile, Tablet, Desktop.- Manage MIME action: Change default action for each file type.- Customize Display, Font size, User Agent etc. for each website individually.- Keyboard helper: Help you type a number and symbol without switch keyboard layout.*The Dark Mode and Screen Filter does not work outside this app.";"Prasomsak Khunmuen";0;"1.2.3";1533945600
"406";NA;"Medical";12;"This is a app for Sophie medical system users to pass the temperature back to system.Credit :Icon made by Roundicons from www.flaticon.com";"DBP Solutions Limited";0;"1.0.1";1489017600
"407";NA;"Health & Fitness";4;"Download the DCFit App today to plan and schedule your classes! From this mobile App you can view class schedules, descriptions, instructors, sign-up for classes, view ongoing promotions, as well as view the DCFit’s location and contact information. You can also click through to our social pages! Optimize your time and maximize the convenience of viewing and signing up for classes from your device! Download this App today!";"MINDBODY, Incorporated";0;"4.2.2";1537228800
"408";NA;"Health & Fitness";9;"Deep Sleep: Designed to help you achieve a very deep level of physical relaxation and mental peace, this hypnotic recording combines an elemental visualisation in a natural outdoor setting with a music track designed to induce a deep state of trance in a short space of time. Similar to our 'Deep Trance' recording, but with different background sounds, and no 'wake up' instructions at the end. You will drift into deep and peaceful sleep, rest well, and awake refreshed.(This recording uses parts of the free 'Complete Relaxation' track, detailed below, for the start and finish, to ensure that you are in the best possible state before and after listening) Free Complete Relaxation: This recording is used for the start and finish of the ‘Deep Sleep’ track, and other recordings in the 'Confidence and Relaxation' series. Listening to this is helpful if you wish to build and practice good hypnotic responses, in preparation for the 'Deep Sleep' track. Can also be used during the day, as it contains 'wake-up' instructions. An ideal way to relax and refresh in a spare 15 minutes!Hypnotic Recording for Deep Sleep by UK Clinical Hypnotherapist Steve Wichett SNLP. Both included recordings provide a gentle and effective way to relax both your mind and body, using progressive relaxation suggestions and gentle, soothing background music. Using the latest psychological approaches and modern methods of inducing hypnotic trance, Steve is well known for the high quality of his private client work. As an experienced hypnotherapist with over 20 years in practice, based in London's prestigious Harley Street and Hampshire, he says ""I have always been fascinated by hypnosis, and just how easily it works.....the unconscious mind seems to know just what to do, and at just the right time. ""You can also explore other hypnotic recordings from within the free 'Hypnotic Recordings' app, also available on the App Store. Experience just what you would in a one-to-one session with this NLP Master Practitioner and Licensed NLP Trainer, at a fraction of the cost.  These recordings are yours to keep and use forever.";"Steve Wichett";3,99;"4.1";1499126400
"409";NA;"Health & Fitness";4;"Fusion of the most helpful sleep white noise and proven light music, in solving sleep problems and anxiety, there is a good effect.The most pure voice is the longest.Add 6 natural white noises to simulate the most natural sound. And groundbreaking implementation of unlimited mixing, you can easily mix their own unique kind of.And can individually control the sound size of each white noise, the ever-changing combination.The new music interface is elegant and exquisite.The fully reworked music interface returns to the original version of the interaction. Bring you the initial touch.Click on the picture to play the corresponding music. After clicking also comes with a little surprise.After a whole new design, it's completely reborn. Download it.";"zhou lijun";0,99;"5.0.0";1511913600
"410";NA;"Games";9;"Your brain is much faster than you think.Maybe the world's fastest. Find out now!Compete with friends from around the world.A breathtaking game of 0.000001 seconds.The game ends when you give up.Challenge it now!The right hand is connected to the left brain and the left hand is connected to the right brain.If you use both hands at the same time, which brain will you use more?Who is your brain like?Would you like to use your left brain as much as Da Vinci, Newton and Edison?Or will he use his right brain as much as Archimedes, Mozart, and Beethoven?Test it now!Pixel Bistro is a creative studio.We are trying new innovations in the digital world.Privacy PolicyWe believe privacy is very important.Please consult our Web site privacy page.";"Pixel Bistro";0;"1.1";1499040000
"411";NA;"Medical";4;"An app for emergency service personnel and family carers to help them deal with emergency situations involving people living with dementia.  It includes general advice on how to approach someone with mid to later stage dementia who is anxious or upset and guidance on dealing with specific situations.";"AppInst Ltd";0;"1.2";1456444800
"412";NA;"Medical";4;"DENTAL SPANISH GUIDE (DSG) by Mavro Inc. (*****) --- High Quality AUDIO Capability --- YES/ No Answer Format --- Build Your Own Section --- Learn Using Flashcards Simple: CLICK the question or phrase to generate audio - How easy!!! <U+25C7> <U+25C7> <U+25C7> <U+25C7> <U+25C7> <U+25C7> <U+25C7> <U+25C7> <U+25C7> <U+25C7> <U+25C7> <U+25C7> <U+25C7> <U+25C7> <U+25C7> <U+25C7> The Dental Spanish Guide (DSG) is a tool designed for non-Spanish speaking health Care professionals to quickly ascertain vital medical information from their Spanish speaking patients. TOPICS: * Introduction * Pre-Exam * Instructions * Assessment (Pain) * Further Assessment * Treatment Plan * X-Rays * Medical Questions * Anesthesia * Exam Conclusion * Discharge Instructions *ALL WITH YES/NO ANSWER* *AUDIO CAPABILITY* *BOOKMARKING* *FLASHCARDS* The guide contains questions, instructions and explanations logically divided among easy-to-find chapters. The questions are phrased in a YES/NO or optional answer format so that non-Spanish speaking health care providers may understand the patient’s answers. This information will direct the early phases - the most critical phases - of care. (*****) http://www.mavroinc.com";"Mavro Inc";0;"3.9";1485820800
"413";NA;"Health & Fitness";4;"Dentist Finder is a FREE smartphone application that allows users to find nearby dentists from their current location. This app also allows Dental Clinics to list their presence (FREE and Paid options) so that the people in their area know about the clinic offerings.Main FeaturesBenefits for General PublicFind the Dental Clinics in nearby vicinity (within a specified distance)View clinic timings, phone numbers and services offeredDirect call to the Clinic Numbers from AppNavigate to the Clinic LocationKeep the Clinic in a favorite list (My Picks)Rate and write a review about the ClinicRefer Clinic to a friendFind Dental Promotions by the Dental Clinics in nearby vicinityBenefits for Dental ClinicsRegister their Clinic for Free & Become accessible for millions of potential clients worldwideDisplay Clinic Timings & Phone NumbersDisplay promotions (Verified Clinics Only)";"Agnitio Software Llc.";0;"1.2";1379289600
"414";NA;"Health & Fitness";12;"Simple App to take pictures of moles and other skin rashes.  Will save picture to app as well as your photo library for later review.  Automatically adds date and will allow you to email to any email address (in case you wanted to email to your dermatologist for instance).Allows you send a reminder in order to recheck a mole/skin problem at a certain future interval.";"Joshua Meador";0,99;"1.7";1426636800
"415";5;"Health & Fitness";4;"The Dermaclara Youth Science app is a new tool to track your skincare progress.We know it’s hard to monitor cumulative changes in your skin over time when you look at yourself daily. How do you know if your skincare regimen is working? With the Dermaclara app, you can visually monitor your skin’s progress throughout your Dermaclara journey. Just download our app and join the Dermaclara Youth Science community today!How to Use1. Download our app and install2. Our app is equipped with guides to assist in taking consistent photos of your face, and neck & chest3. If you’d like to save your photos in order to monitor your progress, simply sign up with your email address.4. Take photos every day, or each week to monitor your progress over time.";"Dermaclara, LLC";0;"2.0.0";1516147200
"416";NA;"Sports";4;"The Desert Blume Golf Club app enhances your golf experience.  Use it to get all the latest news, easily book your next tee time, score your round and more.- Interactive Scorecard- Track your score for any golf course- Details Statistics- Easy Tee Time Booking- Course News and Weather- And much more...Continued use of GPS running in the background can dramatically decrease battery life. This app only runs the GPS in the background as you are tracking a round of Golf.";"Offcourse Golf Inc.";0;"1.04";1526083200
"417";NA;"Health & Fitness";12;"Social Login makes it easy for mobile users to easily register and log in on your site with their existing social network identities from Facebook, Google.Self-book appointments. Customers create an account, view your service menu and book services. Access data anywhere via a mobile device.After the customer's appointment, Dental Manager enters feedback directly through the mobile app and gets an email or Push Notifications.Quickly identify your dentist ( Dental Staff ) availabilityDental Locator can easily find the nearest Dental Branch from your location ( Dental branches)Anywhere, any-time access to appointment book, dental gallery and Dental locationsRemind your appointments automaticallyReceive special promotions - Offer special packages and promotions to your mobile app users.";"Creativebeestudio";0;"1.0";1473206400
"418";NA;"Games";4;"this application can help you to destress by drawing some peacefull draws.You can save your realisation in your picture album.";"Sebastien BISSON";0;"1.0.1";1421971200
"419";NA;"Lifestyle";4;"Get stress relief that lasts. In as little as 10 minutes per day, learn life-changing skills for dealing with thoughts, emotions and beliefs that induce stress or anxiety. This comprehensive program addresses 5 key areas of stress relief: practices for calming the mind, emotional balance, relaxation, energizing exercises, and achieving joy. Techniques include guided imagery, visualizations, breathing and more. Watch a video exploring the causes of stress and your body’s physiological responses and discover how your thoughts and emotions are a key component. Listen to guided meditations or mindfulness exercises to experience a deep sense of calm right now. Let your cells resonate with some calming sound. You can focus on the stress relief practices that best speak to you.Contains over 45 FREE bonus audio and video stress relief exercises from doctors, psychologists, PhD’s and renowned experts including Jon Kabat-Zinn, Dan Siegel, Kelly McGonigal, Tara Brach, Caroline Myss, Jack Kornfield and more. Begin to feel relief from stress right away. The core plan consists of 14 key practices to get you started. It is designed to cover everything you need to know in two weeks, practicing on average only 10 minutes per day. That is only about an hour and 15 minutes per week! The frequency of practicing is more important than the length of time spent each session so most sessions are built with a busy lifestyle in mind. You can schedule these practices and get reminders to help you keep to your stress relief practice goals. Record your stress levels over time to track your progress and stay motivated. This FREE evaluation version is loaded with the complete set of practices from the PRO version. Get Destressify PRO for even more features to keep you on track and help make it possible to continue to offer FREE stress relief for those who need it.The latest neuroscientific research indicates that with repetition, the neural pathways of the brain rewire themselves for the new behaviors. After only a few months of practice, the changes become permanent and automatic. And you experience stress relief that lasts! Regardless of the challenges you face in your health, career, or relationships, it is possible to deal with them in a healthier way. Download this FREE app to discover if this program is right for you. Or check out DeStressify PRO for even more features!";"Stress Refuge, Inc";0;"1.149.0";1512432000
"420";NA;"Health & Fitness";4;"The intelligent body fat scale.Thin out your beauty.11 health parameters measurement of the human body.Body weight, body fat rate, water rate, etc. Often called scale You will be beautiful.   now ,come  on !Important note about apple  HealthKit data:Only when you app for authorization to HealthKit writes information and read information from the HealthKit permissions, the app will synchronize your data to HealthKit measurement.Of course you can be in the source of HealthKit view or change the permissions.Feedback and advice please contact email:dyj@mengii.com. thanks!";"Yajie Deng";0;"1.3";1516665600
"421";NA;"Games";12;"With this immersive game, you will be able to experience scenesin the daily life of a patient with diabetes type 1 or type 2.====== IMPORTANT! =======iPhone and iPad only.To use your Gear VR, you need to install the Cardboard app.========================DESIGNED WITH A SCIENTIFIC STEERING.This game was designed by the scientific steering of Dr. Isabelle Isabelle Hagon-Traub, director of PcD (Cantonal Program Diabetes canton of Vaud in Switzerland). The expert group is represented by Dr Alberto Guardia, Master of Advanced Studies (MAS) in Medical Informatics at the Faculty of Medicine of Geneva. We tested this game with many patients with diabetes but also to a wider audience.The educational objectives are:- Understanding the glycemic- Understanding hypoglycemia- Understand hyperglycemia- Know the complications of diabetes- Understand the effect of insulin- Understanding the link between diabetes and physical activity- Understand the role of health care providers- Understanding the glycemic index (GI)- Categorize foods IG- EatThis is the base version that regularly incorporate new modules.";"Human Shape";0;"1.0";1472860800
"422";NA;"Food & Drink";4;"Diabetes-friendly recipes from the experts! 1000 recipes for creating healthy meals!Check out this collection of diabetes friendly recipes! Healthy recipes and menus for a diabetic diet!If you are diabetic or pre-diabetic, you can enjoy diabetes-friendly food year round with this app.Download delicious diabetic recipes including low-sugar recipes now!Features:<U+2713>1000 diabetes friendly recipes.<U+2713>Recipes for vegetarian, kids, family, dinners, etc. <U+2713>Search any recipes with ingredients.<U+2713>Bookmark your favorite recipes. <U+2713>No wifi is needed.<U+2713>Easy with step by step instructions.";"App Cookies";0,99;"2.3";1395446400
"423";NA;"Medical";4;"Diabetes India 2017 is the app for diabetes conference";"Avnish Shetty";0;NA;NA
"424";NA;"Health & Fitness";12;"Diabetes smartmanager helps to keep track of your blood values in an intuitive and easy way. It offers two ways to record your therapy results: Simple therapy:Record your blood sugar value and your bread units (BU). Basal-Bolus therapyAdds the option to record your bolus insulin.Features:- Calculates the bolus insulin dose - Take notes!- Reminds you to check your blood values - Label with a click, whether the measurement was taken before or after a meal- Display your test results in a diagramm- Ketoacidosis warning- Export your entries for a specific time period to a PDF for your doctor or as csv-file Try the free version of diabetes smartmanager without restrictions in the recording function. Only filetransfer is linked to the full version.";"Atelier fuer Mediengestaltung";0;"1.1";1414972800
"425";NA;"Health & Fitness";17;"You can see information about the company, images, indications, dosage and instructions for use of all the products of Dicofarm Spa.";"Dicofarm Spa";0;"1.0.26";1510876800
"426";2;"Health & Fitness";4;"A complete guide of foods for your diet (such as no carb, low carb, ketogenic or LCHF), all ordered by the color of a traffic light (red, yellow and green), to help you find which foods are good for your diet.You can choose between the USDA guideline, or using low carb/LCHF (low carb high fat)/ketogenic or no carb diets - if you're into paleo this can also be helpful. We do not support the paleo diet directly.Check each foods nutritional information for vitamins, minerals and energy percentages and calculate the amount of calories or carbohydrates, fat and protein on the fly. Includes over 1000+ different foods, and allows you to add your own favorites as well.For each food, shows the amount of:Energy percentage from fatEnergy percentage from proteinEnergy percentage from carbohydratesEnergy percentage from dietary fiberEnergy percentage from alcoholCaloriesProteinFatSaturated fatPolyunsaturated fatMonounsaturated fatCarbohydratesAvailable carbohydratesSugarsDietary fiberAlcoholAshWaterVitamin ARetinolBeta carotenVitamin CVitamin DVitamin EAlpha tocopherolVitamin KThiaminRiboflavinNiacinVitamin B6Folic acidVitamin B12Pantothenic acidCalcium, CaIron, FeChromium, CrMagnesium, MgPhosphorus, PPotassium, KSodium, NaZinc, ZnCopper, CuManganese, MnSelenium, SeNickel, NiIodine, I";"Dennis Hjorth";1,99;"2.5.2";1406678400
"427";NA;"Lifestyle";4;"Best Diet & Meal Plans busts persistent myths and common misconceptions around fitness, diet, nutrition and health. Discover exciting facts you're always wanted to know and uncover the truth about Food, Nutrition, Calories & Weight Loss, Functional Food, Sport.Moreover, This special app provides 1,200-calorie meal plan is designed by EatingWell's registered dietitians and culinary experts to offer healthy and delicious meals for weight-loss. They've done the hard work of planning for you and mapped out seven full days of meals and snacks. The calorie totals are listed next to each meal so you can easily swap things in and out as you see fit. Features:* 1,200-calorie meal plans* Diet, Exercise & Weight Loss Tips* Healthy Snack Ideas & Good Nutrition Tips* Muscle Building & Cardio Tips* Tone your ABS, ARMS, BUTT ... Tips* Food Safety & Fitness Tips* Add Your Own Tips* View randomly or continuously* You can mark any content you like as Favorite.* Read it anywhere no Internet needed* Share tips to your friends via Email, SMS , Facebook ...* Easy to navigate, simple to use!Enjoy!";"Do Tri";0;"1.6";1486944000
"428";NA;"Medical";4;"The Dietitian's Calculator automates many calculations including:- Macronutrient exchanges- Exchange recall giving a macronutrient breakdown of consumed food- BMI and energy requirements, such as:- Harris-Benedict- Mifflin- Energy per kilogram- Ideal BMI upper and lower weight range- Protein per kilogramYou can also choose to use kilograms or pounds, kilocalories or kilojoules, and meters or feet and inches.The Dietitian's Calculator was developed with dietitians and uses standard exchange values from Krause's Food & the Nutrition Care Process textbook. This app is intended to be used by registered dietitians as part of a consultation and does not replace a consultation.Please feel free to leave comments or suggestions or email the developer. Our goal is to help make your job easier.";"Michael Talbot";1,99;"1.1.0";1436313600
"429";NA;"Health & Fitness";4;"DietMaster Go is a professional food and activity logging tool that can only be activated by an authorized nutrition counselor. You login to DietMaster Go by using your username and password that was provided by the counselor when your web based cloud account is set up. Your nutritional and weight management goals are setup by the counselor on your web cloud account, then pushed to the DietMaster Go app. These nutritional and weight management goals include your daily calorie budget, goal weight, BMI, macronutrient ratios and other important factors that attribute to better overall health, nutritional habits and weight control.How it works: Once you login to Dietmaster Go app you can log foods and activities to track your daily amount of calories consumed or burned during activities, and compare those numbers with what has been established by your counselor. DietMaster Go's cloud account also allows logging online via a web based portal. Regardless if you log on your phone or the cloud account, all data is sync'd up and down. This logged information can then be viewed and monitored by your nutrition counselor for better coaching and compliance to your personalized plan.Step up your goals with Apple Health integration! With step and calorie counting with Apple Health you can now stay on track with up to date daily activity syncing. To enable automatic syncing with Apple Health, login to your profile, go to Settings and activate “Enable Apple Watch Sync.”";"Lifestyles Technologies, Inc";0;"3.4";1523491200
