"Description";"NC 1/0"
"FreshAir Respiratory Care Inc. provides the most comprehensive oxygen therapy treatments and Continuous Positive Airway Pressure (CPAP) for our clients. With FreshAirResp app you are able to estimate the duration of your oxygen tank. Have more confidence leaving the house knowing you will have enough oxygen in your tank.";1
"The majority of arterial blood gas apps use a bicarbonate-centered approach to analyze a blood gas. The Friendly Base Deficit Calculator uses a base deficit-centered approach to solve acid-base abnormalities. The app is Friendly because it only requires three fields: pH, PaCO2, and base deficit. Other values that can be entered are Na, Cl, Lactate, albumin, and Cr. The more values entered the more complete of an analysis is obtained. The title page reinforces the simple concept that PaCO2 12mmHg = pH 0.1=Metabolic Acidosis 6mEq/L. The Friendly Base Deficit Calculator also alerts the user to the common problem of hyperchloremia/dysnatremia that can occur with large volume crystalloid resuscitations. The Calculator parses out the contribution of each item to the respiratory and metabolic components. It is also able to save results in an unidentified manner and graph them for easy visual review. This app assists with patient care in the intensive care unit, operating room, and emergency department. It is most useful in the critically ill populations of trauma patients, post-op patients, and any ICU patient. This is ideal for practicing physicians, fellows, residents, medical students, advance practice providers, and nurses who take care of critically ill patients and who need to be able to interpret the base deficit number.";1
"Must use voucher code from website to create account! The power of your very own personal trainer at the palm of your hand. No more carrying a book around the gym or trying to remember what u did last week. View workouts,meal plan, and submit result for progress tracking are just a few of the many perks you get with thinks app. Give it a try your first 7 days are free!!!!!";1
"VirtualCPR is a constant training method which is highly practical and interactive and which facilitates the progressive learning of the CPR method until the user is capable of applying an immediate and automatic application of the method. Valid for the training of health personnel as well as for the training of civil personnel in schools, sport centres, shopping centres, airports, etc. VirtualCPR It is supported by the Research Unit in Emergencies and Disasters of the University of Oviedo and meets the most recent directives of the AHA (American Heart Association) and the ERC (European Resuscitation Council) on cardio pulmonary resuscitation.";0
"Evidence-Based Physical Diagnosis helps you choose the diagnostic approaches that have been proven most effective! Dr. Steven McGee puts the most current evidence at your fingertips, equipping you to easily select the best test for diagnosing a given condition and understand the diagnostic significance and accuracy of your findings. A remarkably easy-to-reference organization makes it simple to find the answers you need. Key features:  An evidence-based calculator that helps you determine probability ratios based on the evidence criteria.  Quickly review the history, pathogenesis, examination technique, and interpretation of physical findings for all areas of the body thanks to a very reader-friendly outline format, including more than 90 ""EBM boxes"" and accompanying ""EBM ruler"" illustrations.  Get expert advice from Dr. Steven McGee, an internationally respected authority in physical examination and assessment, pain management, and education in general internal medicine.  See exactly which studies document the significance of various findings thanks to thousands of up-to-date references.  Apply the latest knowledge on hot topics such as the value of physical examination in taking care of the ICU patient, accurately diagnosing the etiology of systolic murmurs, diagnosing osteoarthritis and acute vertigo in the dizzy patient, diagnosing hemorrhagic stroke, and diagnosing pleural effusions.  Implement the most current evidence-based approaches for evaluating stance and gait, Schamroth's sign (for clubbing), dementia, prediction of falls, hepatopulmonary syndrome, atrial fibrillation, relative bradycardia, tourniquet test (for dengue infections), acute stroke, and pleural effusion.  Assess the pretest probability of disease, given particular signs or symptoms, with new at-a-glance tables.  Make effective decisions thanks to updated content throughout, including new EBM boxes covering over 250 recent studies on physical diagnosis-ensuring that all diagnostic information (i.e., sensitivity, specificity, and likelihood ratios) is up to date. This app is easy to navigate, allowing you to browse the contents or search for keywords and phrases. The search tool will find text, images and tables with one single fast search. The search tool shows you suggested words as you type so it is quick and helps with spelling issues. The text search results show the most relevant results at the top of the search. This app also lets you create bookmarks and notes, allowing you to customize the content to fit your needs. You can also change the text size for easier reading. There is also an interactive EBM Calculator that allows you to calculate posttest probability based on pretest probability and likelihood ratio. No internet connection needed to view the full app. It is all ready for quick image and information retrieval. Check out www.usatinemedia.com to learn more and watch a video demo of this app narrated by Dr. Richard P. Usatine. This interactive app is based on the full content of Evidence-Based Physical Diagnosis, 3rd Edition by Elsevier. Author: Steven McGee, MD Professor of Medicine University of Washington School of Medicine Seattle, Washington Disclaimer: This app is intended for the education of healthcare professionals and not as a diagnostic and treatment reference for the general population. Developed by Usatine Media, LLC Richard P. Usatine, MD, Co-President, Professor of Family & Community Medicine, Professor of Dermatology and Cutaneous Surgery, University of Texas Health Science Center San Antonio Peter Erickson, Co-President, Lead Software Developer";1
"Mobile Heartbeat uses secure smartphones to enable clinical care teams to communicate and collaborate faster and more efficiently. Our enterprise solutions transform medical communications, streamlining clinical workflows to accelerate decision-making, improve patient care and reduce costs.";0
"With the official Mill Run Community Pharmacy iPhone app, you can order your refill prescriptions from your Apple iPhone. Simply enter your prescription number, first and last name, and phone number - then click the refill button. And to save your personal information for easier use each time you want to refill a prescription, you can create a user profile using a secure login. There is no charge to download the app. Look for future enhancements to the iPhone app for Mill Run Community Pharmacy.";1
"With PreciouStatus, families and registered loved ones receive instant, in-the-moment news, photos and updates about activities and daily progress in an easy-to-read daily timeline.";0
"Full version for one user. A key element in rehabilitation is the regulation phase (mapping) of the cochlear implant, or of other acoustic devices. To achieve this, it is essential to level all the sounds at the same volume. DeCiBeLL, a tool that allows you to perform listening tests using individual sounds, listening to lyrics and music. There are two types of tests available: - by sounds generated by frequencies; - listening to the reading of texts, listening to music; You can adjust DeCiBeLL to your best understanding. These adjustments determine the difference between how you feel and how you would rather feel, the result of the test is enclosed in a graph to be delivered to the mapper. DeCiBeLL allows you to train the brain to recognize new sounds, allows you to derive detailed information to build the base of your map, allows you to reconstruct your hearing parameters. Everything is configurable, the make, the model of the system, the frequencies for each active channel of the system. These frequencies are the same used for the calibration of cochlear implants performed by specialists. With DeCiBeLL you can perform the tests in absolute calm, in the places you prefer, at home, at the bar or in the restaurant in the middle of the noise. DeCiBeLL can also be used by those who wear hearing aids. For a hearing, it can be used to check if he has hearing loss. DeCiBeLL is currently available in 5 versions: DeCiBeLL X Free Free version with all the functions enabled. - Frequencies are random - You can not add any other music or text. - Do not connect to iTunes DeCiBeLL XLT Light version, only for one-sided use (right or left) - You can not add any other music or text. - Do not connect to iTunes DeCiBeLL X Music Full version, one user, no sounds test, only texts spoken and music. DeCiBeLL XS Full version for one user DeCiBeLL XPRO Full version, manages multiple users";1
"LCSW Genius is the only Licensed Clinical Social Worker ASWB LCSW Exam perp app that you need. Our LCSW Genius is designed to prepare social workers to pass the CLINICAL level LCSW exam administered by ASWB. It measures your progress in LCSW exam prep app in a clear and intelligent manner to motivate you to learn quickly. It has more than 300 questions that are unique and chosen from the set of standardized books on LCSW. Key features:  Two Study Modes: Flashcard and Practice Test  Detailed Explanation for each question  Feedback: Communicate with the LCSW experts  Intelligent Progress Card Licensed Clinical Social Worker (LCSW) exam is administered by the Association of social Work Boards (ASWB). It is extremely important for you to know your jurisdictions laws and regulations regarding the licensing process. They vary and also as do the fees. Therefore, follow your jurisdictions procedure. All candidates need to download a copy of the ASWB Candidate Handbook, which will be a great help through the registration process. After you have received notification from your jurisdictions licensing board that you may take the ASWB examination, you must register with ASWB and pay the required exam fee (US$230 for the Bachelors or Masters exam; US$260 for the Advanced Generalist or Clinical exam). Note: ASWBs fees are separate from any fees payable to your jurisdictions licensing board. ImpTrax Corporation is not affiliated with Association of Social worker Boards (ASWB) and LCSW. LCSW is a registered trademark of ASWB.";1
"Prediction of height, limb length and limb length discrepancy are all done using the Paley Multiplier method. Instead of using the Multiplier tables, a calculator and formulae this app allows you to enter patient age, sex and length parameters in order to calculate the prediction. Using this app you can predict limb length and limb length discrepancy at maturity for congenital and developmental discrepancies of the lower or upper limbs. It allows calculation of the age of epiphysiodesis for a desired correction and growth remaining. Standing and sitting height at maturity in normals and in achondroplasia can also be predicted. Foot length and fetal bone and limb length discrepancy can also be predicted. The multiplier growth charts and deformity parameters are also included for reference. The multiplier method is as or more accurate than other growth prediction methods and validation studies are published and referenced in the bibliography. - Dr. Dror Paley, M.D.";1
"The Swissray ddRTouch medical image viewer is quickly becoming the next generation in mobile medical image display by combining multi-modality imaging with individualized physician workflow. In combination with the Swissray ddRTouch server, ddRTouch allows facilities to retrieve multi-modality images from their existing 3rd party PACS server and display the content on the iPad and iPhone. Additionally, ddRTouch can receive other image/file formats, such as JPG, BMP and PDF from the adjacent information systems and display the files in an organized fashion for general physicians to view. Features include:  Support for all modalities (CR, ECG/EKG, DR, CT, MR, US, XA, NM, etc.)  Quick layout adjustment (1x1, 2x1 etc.)  Fast image and data access over 3G or Wi-Fi  Pan  Zoom  Window Level  Manual Slider bar  Multi Server capable Future features  Physician Specific work list  Customizable Physician driven workflow  Collaborative Patient record access  Measurement (e.g. length, area, etc.)  DICOM PDF  Auto Cine This application requires the ddRTouch server and the medical images displayed in this product are not intended for diagnostic purposes. Please download the free application that is initially connected to a Swissray ddRTouch demonstration server to view sample data and basic features. For additional product and purchase information on the full workflow and imaging viewing solution, please click the links below. http://www.swissray.com/";1
"Virtual Reality model of Human Brain. Enjoy Human Brain in Virtual reality and augmented reality. The Only app to have Human Brain in VR and AR simultaneously. Features of the Human Brain 3D App: 1) Educators can Zoom and Rotate the 3d model of Human Brain. 2) Students can teachers can Take apart . 3) Each layer or object can be made Glassy to see through. 4) Teacher can Label or Title every object or layer. 5) Analyse feature allows educators for show special focus on a specific part of the Human Brain. This helps is focus education. 6) Snap feature allow you to save the image of the 3D or augmented reality model. This image can be used for your next project or learning. Share or upload or print the images to showcase it to your friends. 7) Pen tool allows teachers to draw or pin specific parts of the Human Brain. 8) The AR button allows you to bring the model from virtual world to real life situation by placing the camera on a marker. DOWNLOAD MARKER FROM THIS LINK: http://www.augmenterapp.com/marker.jpg";1
"Med Brief Namibia is the medical professionals go to source of medical market news. Company, product, people, government news and more make up this essential daily reading for all involved in the medical market.";1
"BMI Calculator / Healthy Weight Tracker for Adults helps monitor and keep track of your BMI (Body Mass Index). It helps you set a Goal to maintain a healthy BMI and monitor your progress. Carry around iBMITracker in your iPhone or iPod Touch all the time to keep on top of your numbers. This app is also a valuable tool for keeping in optimal weight range and BMI Trends Analysis. FEATURES * EASY and INTUITIVE interface for BMI. * MONITOR changes in BMI over time. * Adult Body Mass Index Calculator. * The LOG HISTORY display allows one to view all historic data. * Advanced Graphing Features. * Keep in optimal weight range. * EMAIL and SHARE your BMI records with your Doctor. You can also email to yourself for BACKUP. * Add free text NOTES to each log. * Takes very little of your iPhone memory, extremely small database size. This app saves weight information and calculated data. In addition to maintaining a convenient log of your BMI history, the app is also a valuable tool for BMI Trends Analysis which may help you and your doctor/nutritionist decide on the best food & medicine. High BMIs are associated with increased risk of diabetes, high blood pressure, some cancers and heart problems. TRY OUT OUR OTHER POPULAR PRODUCTS: * Nutrition Facts Search and display nutrition information for popular foods (including fast-foods) http://itunes.apple.com/WebObjects/MZStore.woa/wa/viewSoftware?id=317469756&mt=8 * iExercise Journal Track you daily Exercise/Physical activities. It is available at: http://itunes.apple.com/WebObjects/MZStore.woa/wa/viewSoftware?id=308165301&mt=8 * iFoodDiary: Track your daily food intake. It helps you keep a journal of foods you eat and the beverages you drink each day. It is available at: http://itunes.apple.com/WebObjects/MZStore.woa/wa/viewSoftware?id=308938906&mt=8 Keywords / Tags: BMI Calculator";1
"Tools for predicting patient-specific risk of sentinel node and nonsentinel node metastases in breast cancer. Now includes a novel calculator for predicting risk of persistent pain after breast cancer surgery. ""Predictive tools for breast cancer"" is intended for use by health-care professionals. The calculators are based on peer-reviewed articles published in high-impact medical journals. Each calculator includes a link to the corresponding article.";1
"Dental Asia is Asia-Pacifics premier bi-monthly journal that delivers up-to-date and relevant information in the field of dentistry. With an ever-increasing circulation across the Asia-Pacific region, it stands by its commitment to continue to make giant strides to keep our readers updated with current trends in the practice. It has become the benchmark of other dental publications across Asia and China, as its strong connection with leading dental manufacturers and key opinion leaders serves as an avenue for communication. The main bulk of our readers cover dental professionals like dentists and dental surgeons, dental associations, laboratories and technicians. We extend our reach to dental schools/universities to target the dental student market, as well as dental manufacturers and public health authorities. We make use of multichannel solutions: A magazine that is represented both in print and online, which is distributed in English and Chinese versions; a website that is updated daily to keep dental professionals on track; and a monthly newsletter that keeps our subscribers well informed. Our online presence has levelled up a notch  with this free App that may be easily downloaded! With these, Dental Asia shall continue to spread its wings further as it embraces the future of media and breaks barriers to revolutionise information dissemination and reach out to every dental professional who tries to keep track of dental news and updates online.";1
"SimcartRosters provide mobile access to medical rosters for the Department of Medicine, Taranaki Base hospital. Users can access schedules based on 3 categories which include Scheduled activities (ie Clinics), Educational activities (CME) and On call / Emergency rosters. Additionally, the roster provides in patient care rosters in the form of coloured teams. Each user can also access their own roster for the week or just all activities for today (which is our landing page). Schedules within these categories can be searched for using our Calendar feature";0
"Differential Diagnosis in Small Animal Medicine, Second Edition brings together comprehensive differential diagnosis lists covering a wide range of presenting signs. Download the FREE app and view selected topics (Approximately 10% of the content is viewable in the free app and tapping on the locked topic will launch the in-app purchase screen). ABOUT: Differential Diagnosis in Small Animal Medicine Second Edition brings together comprehensive differential diagnosis lists covering a wide range of presenting signs. The alphabetized lists cover the majority of presentations that are encountered in practice, including both common and uncommon conditions. FULL DESCRIPTION: Differential Diagnosis in Small Animal Medicine is vital reference tool for busy practitioners and students, saving hours of searching through multiple sources. Differential Diagnosis in Small Animal Medicine, Second Edition brings together comprehensive differential diagnosis lists covering a wide range of presenting signs. This new edition has been fully updated with alphabetized lists for improved navigation. The lists cover the majority of presentations that are encountered in practice, including both common and uncommon conditions. Key Features: - Details differential diagnoses from diverse findings such as history, physical examination, diagnostic imaging, laboratory test results and electrodiagnostic testing - Provides guidance on how common conditions are, and how commonly they are the cause of the presenting sign - Useful throughout the working day for vets in small animal practice, the information will save hours searching alternative multiple references - New co-author Kate Murphy brings her expertise as an European College of Veterinary Internal Medicine (ECVIM) diplomate Based on: 2nd Edition Author: Alex Gough, Kate Murphy Publisher: Wiley-Blackwell SPECIAL FEATURES: Locate a disease, symptom or medication in the fastest possible manner: - Use ""Spotlight Search"" from Home screen - Tap and Hold launch icon to open Last Topic, History, Favorites .. - Navigate using multiple indices - History to open frequently visited pages - Bookmarks NEVER FORGET ANYTHING: Mark topics with relevant information: - Rich-text notes - Voice memos - Annotations with scribble, doodle or text You choose the method to note this regardless of the context you are in to ensure that the important facts are available whenever you access the topic, whether it is tomorrow or six months from now.";0
"As a member of SABC Medical Scheme you are able to download SABC Medical Scheme Chat and have the ability to chat online, in real time, with a Service Centre consultant by using this instant messenger as the tool for communication. You are able to:  Clarify simple enquiries without calling the call center or sending emails.  Achieve a speedy resolution to your enquiry due to real time responses.  Receive IM messages instead of SMS's improving accessibility.  Ask your benefit and or claim related enquiries.  Chat to a person and not an automated system.";0
"C the Signs is a multi-platform decision support tool for doctors that uses the latest evidence to help identify patients with Cancer at the earliest stages of the disease. The tool has the ability to simultaneously check combinations of signs, symptoms and risk factors, in an easy to use format. It can be used during the consultation, when the opportunity to influence decision-making is at its greatest. Features: - Covers the whole spectrum of cancer, from childhood to old age - Search by system (e.g. ""chest"" or ""breast"") - Search by symptom (e.g. ""appetite loss"" or ""weight loss"") - Delivers recommendations on what test, investigation or referral should be made - Cross-references all symptoms against the entire database - Specifically designed to be fast, intuitive and deliver a result within 30 seconds We are regulated by the Medicines Healthcare and products Regulatory Agency (MHRA).";1
"In this APP you will discover your Texas Workers Comp Benefits amount using TIBs Calculator, IIBs Calculator. If you are calculating for Texas Workers Comp Benefit check, you can maximize your claim with this insights. Workers Compensation FAQ What do I do if my claim is denied I am worried about attorney fees. Can I sue my employer or someone else if their negligence caused my injury What benefits am I entitled to Do I have to go to my employers company doctor Will I get stuck with my medical bills Are there any deadlines I should be aware of Download this app and get help with your Texas Workers Comp Benefits claim today!";0
"Farmacologa Clnica is an easy application for anyone interested in learning of drug classification and categories, the app contains videos, definitions, drug brands, classifications, mnemonics to facilitate learning, and a section of questions related to clinical pharmacology. Is oriented to students and health care people interested in doing a quick review of meds and to test their knowledge in the clinical area. Features: -Videos -Definitions -Clinical Quiz -Mnemonics -Classifications: -Addiction -Adrenal Hormones (steroids) -Aminoglycosides, Tetracyclines and Chloramphenicol -Antacids and Eupeptic -Anterior Pituitary Hormones -Antiarrhythmic -Anticoagulants, Fibrinolytic, Thrombolytic -Anticonvulsants -Antidiarrheal -Antihistamines -Antihypertensives -Antipyretic Analgesics -Antithyroid Drugs -Antitussives and Expectorants -Anxiolytics or Hipnotics -Beta-lactam Antibiotics (other, cephalosporins and B Lactamase inhibitors -Bradykinin and other Agents (Peptides) Vasoactive -Cathartic -Chelating Substances -Chemotherapy of Amoebiasis, Giardiasis and Trichomoniasis -Chemotherapy of Helminthiasis -Chemotherapy of Malaria -Chemotherapy of Mycoses -Chemotherapy of Neoplasms -Chemotherapy of Trypanosomosis -Chemotherapy of Tuberculosis and Leprosy -Chemotherapy of Virus Diseases -Coronary Stents -Diuretics -Drug Antianemics -Drug Antimigraine -Drugs in Depression and Mania -Female Sex Hormones and contraceptives -Ganglions and Myoneural Plaque Blockers -General Anesthetics -Gold Salts -Gout Medications -Hydrosoluble Vitamins -Immune-modulating agents (suppressants and stimulants) -Industrial and Environmental Toxicology -Insulin -Liposoluble Vitamins -Local Anesthetics -Macrolides, others Antiseptics -Male Sex Hormones -Methylxanthines and Antiasthmatic -Narcotic Analgesics -Neuroleptics -Oral Hypoglycemic -Oxytocics and Tocolytics -Parasimpaticolitic -Parasympathomimetic -Prostaglandins and Platelet Activating Factor -Serotonin and Antiserotoninergic -Sulfonamides and Quinolones -Sympatholytic -Sympathomimetic -Therapeutic Gases -Treatment of Degenerative Central Nervous Disorders -Treatment of Heart Failure -Treatment of Hyperlipidemia Comments and Suggestions http://maddevsoftware.wordpress.com Technical Support Contact us at maddevsoft@hotmail.com";1
"Download the FREE app and view selected topics. Approximately 10% of the content is viewable in the free app and tapping on the locked content launches the in-app purchase screen.ABOUT: ABC of DiabetesDrawing on the professional and teaching experience of an expert author team, ABC of Diabetes is an essential guide for general practice, primary care practitioners, diabetes specialist nurses, as well as for medical students and those training in diabetes as a specialty.Based on: 7th EditionAuthor: Tim A. Holt, MRCP, FRCGP and Sudhesh KumarPublisher: John Wiley & Son Inc. and its affiliatesISBN-13: 9781118850534SPECIAL FEATURES:Locate a disease, symptom or medication in the fastest possible manner:- Use ""Spotlight Search"" from Home screen- Tap and Hold launch icon to open Last Topic, History, Favorites ..- Navigate using multiple indices- History to open frequently visited pages- Bookmarks NEVER FORGET ANYTHING:Mark topics with relevant information:- Rich-text notes - Voice memos- Annotations with scribble, doodle or textYou choose the method to note this regardless of the context you are in to ensure that the important facts are available whenever you access the topic, whether it is tomorrow or six months from now.FULL DESCRIPTION:ABC of Diabetes, 7th Edition, provides primary care practitioners with a practical guide to all aspects of diabetes including the aetiology, diagnosis and management of Types 1 and 2 diabetes, detection and prevention, and the organization of care and support. New to this EditionAdvances in diabetes care take place at a rapid rate and this new edition is updated throughout to cover the latest evidence-based information for contemporary practice.A new chapter describes the management of severe and complex obesity complicated by diabetes and the management of patients through bariatric surgery.It also covers the growing number of devices and digital technology, including health informatics, that can assist in diabetes care and provides evidence of their benefit.With more links to useful websites and resources online, it is now easier than ever to keep up-to-date with changes.Key Features- A comprehensive view of the practical issues relating to diagnosis and treatment of diabetes together with very practical advice on the management of its complications- Covers the early recognition of diabetes and cardiovascular risk as well as preventing complications specific to diabetes- Addresses the need to deliver diabetes care in a multidisciplinary setting, including the UK Quality and Outcomes Framework, and reflects the increasing emphasis on self-management and patient-centred care, particularly as it relates to lifestyle changes, glycaemic control and patient choice over treatment options- Contains information on retinopathy, peripheral neuropathies, autonomic neuropathy, diabetic nephropathy, cardiovascular disease, pregnancy and many more- Sections include Insulin treatment, Hypoglycemia, Diabetic ketoacidosis and management of diabetes during pregnancy- Gives concise and clear explanations and full-color images"",
";1
"Quickly receive a diagnosis and personalized treatment plan (with prescriptions if medically necessary) from the staff of Boston University Dermatology at BMC. Simply upload pictures of your condition through the secure app. More than 3,000 skin, hair and nail issues can be diagnosed online including acne, suspicious moles, rosacea, eczema, psoriasis and many more."",";1
"Cranial Ultrasound is an educational quiz app designed for medical students, doctors, radiographers and healthcare professionals. Whether you are studying neonatal cranial ultrasound for the first time or are brushing up on existing knowledge, our app is a valuable tool.+ Solve over 50 real clinical cases.+ Common and rarer pathologies are all covered.+ View over 250 high-quality images.+ Post your scores to Facebook and Twitter.+ Share interesting ultrasounds and their explanations with your friends.+ Bookmark ultrasounds and return to them later.Cranial Ultrasound is an essential resource. Start training now and you'll soon be a neonatal cranial ultrasound pro!"",";0
"This APP and the early pregnancy models were developed by Imperial College London in collaboration with KU Leuven.Assessing women in early pregnancy often involves repeating ultrasound scans at an interval. The Early Pregnancy app allows clinicians to conveniently calculate chance of viability in order to appropriately manage patients expectations (Bottomley et al, Hum Reprod 2013;28:68-76; National Institute for Health and Care Excellence, Clinical Guideline 154, www.nice.org.uk/guidance/cg154/). The APP also includes a model based on measurements of serum hCG and progesterone that predicts the probable outcome for pregnancies of unknown location (PUL), so clinicians can decide if they are at low of high risk of complications in order to arrange appropriate follow up (Van Calster, Bobdiwala et al, in preparation)."",";1
"Formerly advertised as Galileo - Smart Prosthetic Control.Galileo lets patients and prosthetists control a new generation of smart, connected prosthetic components through an elegant and consistent user interface.Connect to the Europa+ prosthesis outcomes measurement component to automatically generate easy to understand prosthesis outcome reports. Using Galileo with the Europa+ component fulfills specific requirements for measures of dynamic function requested by the VA. Galileo makes it easy to track and report changing outcomes over years of use of the components. Patients can also record prosthetic function using their own iOS device to show how they use their prosthesis in everyday life.The Europa+ component is available at SPSCO.COMThrough our partnership with Ottobock, Galileo is launching with full support for configuring the new Triton smart ankle with Bluetooth connectivity:For Patients & Prosthetists View critical information such as battery level and overall health of the ankle Adjust heel height for different footwear Adjust perceived toe stiffness Engage Free Ankle Motion mode, allowing full range of motion for 15 seconds Enable or disable the ankle's on-board beep sound View detailed activity statistics for terrain adaptations Control two ankles at the same time and easily swipe between the controls for both Personalize the display name of the ankle for easy identification Upload diagnostics information for detailed problem analysisFor Prosthetists Easily setup and train the ankle for a new patient Fine-tune ankle features to accommodate patient preferences and individual gait characteristics. View live, real-time graphing of the ankle's state and performance while the patient is walking.Note: To unlock prosthetist functionality, connect to the Triton smart ankle and use the activation code included in the product package."",";1
"This application can save your life!This small app transforms your iPhone or iPad into a quick-test for heart attack symptoms. The diagnosis is incredibly accurate considered the effort and cost involved. Its all based on a WHO survey system that was developed for physicians and cardiologists without access to modern medical devices. The benefits of being aware of a potential problem and having it checked out professionally afterwards are obvious, considered that heart conditions can be easily treated IF they are only diagnosed early enough!This is no small matter, since out of all deaths related to a heart attack, 30% of people were never even aware of a heart condition and simply never thought about seeing a doctor for a cardiac check-up! HEART ATTACK FACTS Heart attacks are the No.1 risk factor for adults with regard to cardiovascular disease. Each year, heart attacks kill more people than cancer. Symptoms are often misjudged or simply ignored, such as sudden pain in the chest or arms. Often, these symptoms occur because of angina pectoris (chest pain caused by lack of blood to the heart) and develop into full-grown heart attacks and possibly death if left untreated. The risk of suffering a heart attack increases with age - which makes HeartCheck a useful tool for years to come. Test yourself regularly (with HeartCheck or with a cardiologist for absolute certainty) so you know about your health. Most of us only have one lifeHeartCheck helps you to recognize the warning signals our bodies send out and eliminates the risk of having a heart attack happening to you unexpectedly in the worst possible situation (remote mountain slope, off-coast fishing trip, etc.).NOTE: This questionnaire is based on medical studies and instructions for cardiologist worldwide. However, a test like this will only be able to indicate possible outcomes but is never a substitute for a medical examination. USER COMMENTS My reaction was entirely positive a well done self-health app. Gody G., SwitzerlandIm very grateful to find it. [Apps improve] the overall health and benefits of the population. - Saba M., MD, India"",";1
"HIV/AIDS Virus is a great collection with photos and info. You can zoom photos, view info, edit and share photo with friends.- Photos and info no internet connection required- Add to favorites- Share with friends- Test your knowledge- Search- Zoom."",";1
"Instant ECG was designed as an ECG / EKG / Electrocardiogram guide for physicians, nurses, paramedics and other health care professionals. It is an excellent learning tool as well as a quick reference.ECGs:- Normal Sinus Rhythm (NSR) - Sinus Tachycardia - Sinus Bradycardia - Sinus Pause - Atrial Flutter - Atrial Fibrillation - Wandering Atrial Pacemaker- Premature Atrial Contraction- Supraventricular Tachycardia (SVT) - 1st Degree AV Block - 2nd Degree Wenckebach - 2nd Degree Mobitz II - 3rd Degree AV Block - Wolff-Parkinson White (WPW) - Junction Rhythm - Right Bundle Branch Block - Left Bundle Branch Block - Premature Ventricular Contraction (PVC) - Ventricular Escape - Ventricular Tachycardia - Torsades-de-Pointes - Ventricular Flutter - Ventricular Fibrillation - Idioventricular - Asystole- SVT Cardioversion to NSR- Torsades Cardioversion to A. Fib- V. Tach Cardioversion to ST Elevation- V. Fib Cardioversion to Asystole- V. Tach Cardioversion to Junctional- Right Ventricular Strain - Left Ventricular Strain - ST Depression Sinus Rhythm- ST Elevation Sinus Rhythm- Anteroseptal Wall MI - Anterolateral Wall MI - Lateral Wall MI - Inferior Wall MI - Apical Wall MI - Posterior Wall MIExams:- ECG Basics- True or False- Multiple Choice- Identify the Rhythm Strip- Identify the 12-Lead Basic- Clinical Aspects of AV Blocks- Clinical Aspects of Bundle Branch Blocks- Clinical Aspects of MI- ACLS Bundle Exam Instant ECG was developed by iAnesthesia LLC and authored by T. Michael Truxillo M.D. CPPS and William S. Trask IV D.O. Instant ECG - REVIEWS- ""Instant ECG is the best ECG guide available for the iPhone"" - ""The definitive FIVE STAR EKG App.""- ""Excellent App for student, resident or attending. I highly recommend it.""- ""Helps to keep the rhythms fresh in my mind. Good for a 5-min review. Great quiz functionality."""",";1
"This App was designed by urology faculty from the Department of Urology at the University of California San Francisco (UCSF). This App is designed for both women and men.The main (and unique!) feature of this App is its biofeedback feature, which allows users to measure the most important element of a Kegel exercise: how they spend contracting and relaxing their pelvic muscles during each exercise. Kegel Nation also lets users track how often they do their Kegel, and, other important elements of their urinary function: how often they feel urinary urgency, the number of trips to the bathroom, the number of incontinence (urinary leakage) events, and, number of urinary pads used. During treatment, it essential to accurately track these urinary function events, as this helps us (physician and patient) to determine whether there is progress over time and/or a satisfactory response to treatment with recommended changes in habits or with medications. Kegel Nation also allows users to graph all of their own Kegel exercise and urinary function data, to make it easier to see trends to either share with their doctor or for their own health charting.The target audience for this App are UCSF Department of Urology clinical study subjects who have agreed to participate in a clinical study using this App. Each subject will have given written consent to participate in the clinical study. Upon enrolling in the clinical study in our clinic, each subject will be assigned a unique Study ID number, which unlocks the downloaded App. To use the app, each subject enters their unique Study ID, which allows them to use the App. The app automatically pushes their study data to the Study database-- labeling each study subject's data with their unique Study ID-- for ""within subject"" data analysis within the study database housed upon a commercial server.That code(Study ID) is generate by Admin Panel and if anyone having this study ID than only user can use this application. This application will use for research and study purpose."",";1
"The app is able to guide the physician along the most correct and rational procedures to reach the wright diagnosis of lymph node enlargements utilizing only selective anamnestic information, clinical data, physical findings. Furthermore, it suggests the most reliable laboratory and instrumental tests for a diagnostic confirmation (surgical biopsies included, when needed) and the most active drugs for every illness. The so guided diagnostic procedure is also more direct, short and cheap.Use with caution. Consult a doctor before making any medical decisions"",";1
"The app is now free and we present it as a gift to the Radiologic community that helped train us.50 mammography cases are presented as a mini atlas. Experts have become that way by seeing many abnormal studies. We present these cases with the idea that a busy resident or attending may only have a few minutes to look at an app. Images can be viewed and sorted by general pathology, appearance, or BIRADS category. Two different quiz modes are available to test your knowledge of the images and general mammography.Learning is presented dynamically. The ipod/ iphone interface makes learning interesting and fun. The touch screen adds the interactivity that can't be found in a static textbook.This application is meant as a teaching tool for medical professionals."",";0
"Ocuelar aims to increase patient adherence for glaucoma patients via bluetooth enabled cap which records successful compliance. The smart cap is paired by the Clinic using Ocuelar Staff, a bluetooth pairing app and accessed via the Ocuelar app that reminds patients to take their scheduled prescriptions. Ocuelar app comes with prescription reminder, games and rewards."",";1
